// Rii = sum of vdW radii of two like atoms (in Angstrom)
// epsii = vdW well depth (in kcal/mol)
//     Rii   epsii  Rij_hb  epsij_hb
//     ----  -----  ------  --------
H      2.00  0.020   0.0     0.0
HD     2.00  0.020   0.0     0.0
HS     2.00  0.020   0.0     0.0
C      4.00  0.150   0.0     0.0
A      4.00  0.150   0.0     0.0
N      3.50  0.160   0.0     0.0
NA     3.50  0.160   1.9     5.0
NS     3.50  0.160   1.9     5.0
OA     3.20  0.200   1.9     5.0
OS     3.20  0.200   1.9     5.0
F      3.09  0.080   0.0     0.0
Mg     1.30  0.875   0.0     0.0
MG     1.30  0.875   0.0     0.0
P      4.20  0.200   0.0     0.0
SA     4.00  0.200   2.5     1.0
S      4.00  0.200   0.0     0.0
Cl     4.09  0.276   0.0     0.0
CL     4.09  0.276   0.0     0.0
Ca     1.98  0.550   0.0     0.0
CA     1.98  0.550   0.0     0.0
Mn     1.30  0.875   0.0     0.0
MN     1.30  0.875   0.0     0.0
Fe     1.30  0.010   0.0     0.0
FE     1.30  0.010   0.0     0.0
Zn     1.48  0.550   0.0     0.0
ZN     1.48  0.550   0.0     0.0
Br     4.33  0.389   0.0     0.0
BR     4.33  0.389   0.0     0.0
I      4.72  0.550   0.0     0.0
Z      4.00  0.150   0.0     0.0
G      4.00  0.150   0.0     0.0
GA     4.00  0.150   0.0     0.0
J      4.00  0.150   0.0     0.0
Q      4.00  0.150   0.0     0.0
